,navn,addresse,Org_nr,Sektor,godkjenning
594,Dolvik Nils,"Oppetveiten 106 , 5262 ARNATVEIT",Org. nr. 978 604 633,Økologisk landbruksproduksjon,Gyldig fra 07.12.2020 til 30.12.2021
596,Domås Jenny og Sven Åge,"Jøresvegen 25 , 7870 GRONG",Org. nr. 984 059 736,"Foredling, import og omsetning",Gyldig fra 06.12.2020 til 30.12.2021
597,Dompidal Hans Olav,"Heggenhaugvegen 221 , 2355 GAUPEN",Org. nr. 969 108 038,Økologisk landbruksproduksjon,Gyldig fra 06.12.2020 til 30.12.2021
598,Domstein Sjømat AS,"Knud Brynsveg 1 , 0581 OSLO",Org. nr. 997 420 471,"Foredling, import og omsetning",Gyldig fra 16.08.2020 til 30.12.2021
599,Dønnamannen Elevkantine,"Snekkeråsen 2 , 8820 DØNNA",Org. nr. 945 114 878,Servering av økologisk mat og drikke,Gyldig fra 11.05.2020 til 30.12.2021
600,Dr. Fedon Lindbergs Products AS,"Bygdøy allé 51B , 0265 OSLO",Org. nr. 983 058 434,"Foredling, import og omsetning",Gyldig fra 06.10.2020 til 30.12.2021
601,Dr.Oetker Norge AS,"PB 483 , 1411 KOLBOTN",Org. nr. 123 45,"Foredling, import og omsetning",Gyldig fra 27.04.2020 til 30.12.2021
602,Drabløs Odd Jarl,"Bjørnedalen 25 , 6220 STRAUMGJERDE",Org. nr. 869 631 612,Økologisk landbruksproduksjon,Gyldig fra 04.11.2020 til 30.12.2021
603,Drageid Laks AS,"Leiro 33 , 5640 EIKELANDSOSEN",Org. nr. 933 889 750,Økologisk akvakultur,Gyldig fra 19.08.2020 til 30.12.2021
604,Drågen Smokehouse AS,"Nedrehaukås veien 67 , 6440 ELNESVÅGEN",Org. nr. 999 329 586,Økologisk akvakultur,Gyldig fra 09.11.2020 til 30.12.2021
605,Drivdal Nils Jakob,"Itlandsveien 21 , 4400 FLEKKEFJORD",Org. nr. 969 319 721,Økologisk landbruksproduksjon,Gyldig fra 26.04.2020 til 30.12.2021
606,Drotninghaug Kjell P.,"Sykkylvsvegen 2142 , 6220 STRAUMGJERDE",Org. nr. 969 261 162,"Foredling, import og omsetning",Gyldig fra 27.04.2020 til 30.12.2021
607,Drotningsvik Bigaard,"Nordre Drotningsvik 22 , 5179 GODVIK",Org. nr. 924 749 458,Økologisk landbruksproduksjon,Gyldig fra 16.08.2020 til 30.12.2021
608,DSV Solutions AS avd Kløfta,"Dyrskuevegen 44 , 2040 KLØFTA",Org. nr. 984 054 548,"Foredling, import og omsetning",Gyldig fra 27.09.2020 til 30.12.2021
609,DSV Solutions AS avd Vestby,"Toveien 37 , 1540 VESTBY",Org. nr. 984 054 548,"Foredling, import og omsetning",Gyldig fra 01.12.2020 til 30.12.2021
610,Du Godeste AS,"Dronning Eufemias gate 16 , 0191 OSLO",Org. nr. 995 081 407,Servering av økologisk mat og drikke,Gyldig fra 15.11.2020 til 30.12.2021
612,Due Håkon,"Fange , 1798 AREMARK",Org. nr. 870 560 982,Økologisk landbruksproduksjon,Gyldig fra 09.07.2020 til 30.12.2021
613,Duggfriskt AS,"Lommedalsvn. 230 , 1353 BÆRUMS VERK",Org. nr. 917 006 873,"Foredling, import og omsetning",Gyldig fra 09.07.2020 til 30.12.2021
614,Dugstad Olav,"Nedkviknesvegen 159 , 5710 SKULESTADMO",Org. nr. 914 186 390,Økologisk landbruksproduksjon,Gyldig fra 03.11.2020 til 30.12.2021
615,Dullerud Ole,"Rosetvegen 82 , 2830 RAUFOSS",Org. nr. 969 423 383,Økologisk landbruksproduksjon,Gyldig fra 25.03.2020 til 30.12.2021
616,Dyre gård Hans Olav Bjerketvedt,"Dyreveien 151 , 1525 MOSS",Org. nr. 987 309 954,"Foredling, import og omsetning",Gyldig fra 29.06.2020 til 30.12.2021
617,Dyrk Mølle Gardseth,"Rørosveien 830 , 2500 TYNSET",Org. nr. 983 459 412,Økologisk landbruksproduksjon,Gyldig fra 14.07.2020 til 30.12.2021
618,Dyrket.no AS,"Rudssletta 54 , 1351 RUD",Org. nr. 913 736 818,"Foredling, import og omsetning",Gyldig fra 08.07.2020 til 30.12.2021
619,Dyrud Anund,"Hørtevegen 327 , 3810 GVARV",Org. nr. 984 919 085,Økologisk landbruksproduksjon,Gyldig fra 03.05.2020 til 30.12.2021
620,Dyste Lauritz,"Dystlinna 34 , 2847 KOLBU",Org. nr. 992 953 934,Økologisk landbruksproduksjon,Gyldig fra 05.05.2020 til 30.12.2021
621,Dyste Magne Kristian,"Kolbulinna 965 , 2847 KOLBU",Org. nr. 969 744 317,"Foredling, import og omsetning",Gyldig fra 20.10.2020 til 30.12.2021
622,Dysterjordet Andelslandbruk c/o Natalie Keene,"Lille Borgen vei 17 , 0370 OSLO",Org. nr. 914 747 996,Økologisk landbruksproduksjon,Gyldig fra 13.12.2020 til 30.12.2021
623,E.A.Engelstad AS,"Postboks 171 Skøyen , 0212 OSLO",Org. nr. 984 601 603,"Foredling, import og omsetning",Gyldig fra 16.09.2020 til 30.12.2021
624,Eckell Tom Harald,"Kjoseveien 237 , 3268 LARVIK",Org. nr. 969 272 148,Økologisk landbruksproduksjon,Gyldig fra 01.07.2020 til 30.12.2021
625,Ecopreneur Vibeke Evensen Toregarden Naturfarm,"Vallavegen 24 , 6220 STRAUMGJERDE",Org. nr. 915 738 117,Økologisk landbruksproduksjon,Gyldig fra 09.06.2020 til 30.12.2021
626,Een Arvid,"Ænsmoen 64 , 5710 SKULESTADMO",Org. nr. 880 026 852,Økologisk landbruksproduksjon,Gyldig fra 04.11.2020 til 30.12.2021
628,Eftedal Anne Lise Lothe,"Fjordavegen 4748, Lote , 5778 UTNE",Org. nr. 980 789 403,Økologisk landbruksproduksjon,Gyldig fra 16.12.2020 til 30.12.2021
629,Eftevaags Markedshage (Brekkestø Hage),"Justøyveien 672 , 4780 BREKKESTØ",Org. nr. 925 112 941,Økologisk landbruksproduksjon,Gyldig fra 16.12.2020 til 30.12.2021
630,Egeland Marcus,"Svennebyveien 73, Eikeland Gård , 1821 SPYDEBERG",Org. nr. 923 810 765,Økologisk landbruksproduksjon,Gyldig fra 20.01.2021 til 30.12.2021
631,Egeland Thorer Olai,"Svennebyveien 73 , 1821 SPYDEBERG",Org. nr. 969 386 399,"Foredling, import og omsetning",Gyldig fra 21.10.2020 til 30.12.2021
632,Egge Gård,"Banev. 16 , 3400 LIER",Org. nr. 933 616 223,"Foredling, import og omsetning",Gyldig fra 25.11.2020 til 30.12.2021
633,Eggen Anders O.,"Melhusvn.382, Me-Eggen , 7224 MELHUS",Org. nr. 976 025 563,Økologisk landbruksproduksjon,Gyldig fra 07.12.2020 til 30.12.2021
634,Eggen gardsysteri SA,"Eggeliveien 199 , 2542 VINGELEN",Org. nr. 993 427 799,"Foredling, import og omsetning",Gyldig fra 13.01.2021 til 30.12.2021
635,Eggen Marius,"Eggeliveien 197 , 2542 VINGELEN",Org. nr. 999 309 119,Økologisk landbruksproduksjon,Gyldig fra 20.04.2020 til 30.12.2021
636,Eggen Sissel,"Lynumvn. 524 , 7620 SKOGN",Org. nr. 981 622 464,Økologisk landbruksproduksjon,Gyldig fra 28.04.2020 til 30.12.2021
637,Eggum Helge Sjur,"Eggjavegen 40 , 6863 LEIKANGER",Org. nr. 969 412 209,Økologisk landbruksproduksjon,Gyldig fra 06.07.2020 til 30.12.2021
638,Eid Geir Anders,"Holondvegen 1740 , 7212 KORSVEGEN",Org. nr. 988 486 280,Økologisk landbruksproduksjon,Gyldig fra 08.09.2020 til 30.12.2021
639,Eid Rune,"Grønvoldvn. 9 , 3647 HVITTINGFOSS",Org. nr. 970 391 436,Økologisk landbruksproduksjon,Gyldig fra 21.10.2020 til 30.12.2021
640,Eide Nils,"Eidsvn 467 , 2540 TOLGA",Org. nr. 990 495 998,Økologisk landbruksproduksjon,Gyldig fra 22.04.2020 til 30.12.2021
641,Eide Olav,"Tørvikbygdvn. 200, Berge , 5620 TØRVIKBYGD",Org. nr. 995 954 699,Økologisk landbruksproduksjon,Gyldig fra 10.03.2020 til 30.12.2021
642,Eide Randi Engelsen,"Brandsethveien 50 , 5713 VOSSESTRAND",Org. nr. 986 339 086,Økologisk landbruksproduksjon,Gyldig fra 25.03.2020 til 30.12.2021
644,Eidsmo Kåre,"Nordgrenda 38 , 7224 MELHUS",Org. nr. 969 301 733,Økologisk landbruksproduksjon,Gyldig fra 16.07.2020 til 30.12.2021
645,Eiker Vekst AS,"Ryghgata 6 , 3050 MJØNDALEN",Org. nr. 963 771 932,"Foredling, import og omsetning",Gyldig fra 16.07.2020 til 30.12.2021
647,Eilert-Olsen Anne Lise,"Dyrsøvn. 181 , 3158 ANDEBU",Org. nr. 877 358 992,Økologisk landbruksproduksjon,Gyldig fra 26.10.2020 til 30.12.2021
648,Eimealt AS,"Ospevn. 2 A , 4025 STAVANGER",Org. nr. 912 667 758,"Foredling, import og omsetning",Gyldig fra 24.05.2020 til 30.12.2021
649,Ekeberg Myhrene Økologisk AS,"Viulsrudveien 30 , 3039 DRAMMEN",Org. nr. 918 534 989,Økologisk landbruksproduksjon,Gyldig fra 28.10.2020 til 30.12.2021
650,Ekker Torstein,"Statlandvegen 9 , 7777 NORD-STATLAND",Org. nr. 925 606 510,Økologisk landbruksproduksjon,Gyldig fra 26.10.2020 til 30.12.2021
651,Eko Superfoods AS,"Bjørnåsveien 124 , 1272 OSLO",Org. nr. 918 406 603,"Foredling, import og omsetning",Gyldig fra 27.09.2020 til 30.12.2021
652,Ekorn Jensen Kafè Kristiansand Dyrepark AS,"Dyreparken , 4609 KARDEMOMME BY",Org. nr. -,Servering av økologisk mat og drikke,Gyldig fra 12.02.2020 til 30.12.2021
653,Eliassen Anne Kari,"Bygdavegen 262 , 9450 HAMNVIK",Org. nr. 919 848 340,Økologisk landbruksproduksjon,Gyldig fra 07.10.2020 til 30.12.2021
654,Eliassen Skjell & sjøhus,"Vestresand , 8360 BØSTAD",Org. nr. 883 513 452,Økologisk landbruksproduksjon,Gyldig fra 16.06.2020 til 30.12.2021
655,Elin's drøm,"Saatvedtveien 52 , 3618 SKOLLENBORG",Org. nr. 916 110 189,"Foredling, import og omsetning",Gyldig fra 02.04.2020 til 30.12.2021
656,Ellingsen Frithjof Berg,"Haugsteinveien 64 , 1911 FLATEBY",Org. nr. 982 947 294,Økologisk landbruksproduksjon,Gyldig fra 08.10.2020 til 30.12.2021
657,Ellingsen Kim Erik,"Håvundvn. 299 , 3713 SKIEN",Org. nr. 991 195 785,Økologisk landbruksproduksjon,Gyldig fra 09.06.2020 til 30.12.2021
658,Elvathun,"V/ Bjarne Øvrebø, Gamlevegen 23 , 6879 SOLVORN",Org. nr. 970 395 709,"Foredling, import og omsetning",Gyldig fra 06.07.2020 til 30.12.2021
659,Elvenhøy Gartneri v/Rolf Ingvar Fuglerud,"Banevegen 34 , 3405 LIER",Org. nr. 988 978 027,Økologisk landbruksproduksjon,Gyldig fra 14.12.2020 til 30.12.2021
661,Embrikgård Ole,"Hemsedalsvegen 2680 A , 3560 HEMSEDAL",Org. nr. 984 056 621,Økologisk landbruksproduksjon,Gyldig fra 13.10.2020 til 30.12.2021
662,Emlo AS,"Skogveien 58b , 1368 STABEKK",Org. nr. 996 905 721,"Foredling, import og omsetning",Gyldig fra 13.10.2020 til 30.12.2021
663,Encon AS,"Dalsmoen 5 , 5709 VOSS",Org. nr. 915 040 608,"Foredling, import og omsetning",Gyldig fra 19.10.2020 til 30.12.2021
664,Endestad Hans,"Hovlandsvegen 29 , 6940 EIKEFJORD",Org. nr. 881 319 012,Økologisk landbruksproduksjon,Gyldig fra 19.11.2020 til 30.12.2021
665,Endresen May Daljord og Roger,"Øvre Ånstad vei 19 , 8416 SORTLAND",Org. nr. 969 709 201,Økologisk landbruksproduksjon,Gyldig fra 04.11.2020 til 30.12.2021
666,Engan Eirik,"Øyåsvegen 187 , 7224 MELHUS",Org. nr. 969 137 356,Økologisk landbruksproduksjon,Gyldig fra 25.05.2020 til 30.12.2021
667,Engdahl Mikkel,"Sletnesvegen 119 , 6639 TORVIKBUKT",Org. nr. 915 562 647,Økologisk landbruksproduksjon,Gyldig fra 31.08.2020 til 30.12.2021
668,Engdal Joakim,"Slettnesvegen 260 , 6639 TORVIKBUKT",Org. nr. 916 944 950,Økologisk landbruksproduksjon,Gyldig fra 04.02.2020 til 30.12.2021
669,Engelstad Gård Knut Bjerke,"Rødsveien 20 , 3370 VIKERSUND",Org. nr. 914 003 075,Økologisk landbruksproduksjon,Gyldig fra 31.08.2020 til 30.12.2021
670,Engelstad Thea Mørk,"Raveien 500 , 3239 SANDEFJORD",Org. nr. 995 665 581,"Foredling, import og omsetning",Gyldig fra 01.11.2020 til 30.12.2021
672,Engen Asbjørn,"Moen , 7973 GJERDINGA",Org. nr. 914 560 152,Økologisk landbruksproduksjon,Gyldig fra 29.11.2020 til 30.12.2021
673,Engen Jorunn,"Stangnessætervegen 152 , 2233 VESTMARKA",Org. nr. 980 431 835,Økologisk landbruksproduksjon,Gyldig fra 04.11.2020 til 30.12.2021
674,Engens Høner Bjørn Harald Rudi,"Skalleåsveien 109 , 1892 DEGERNES",Org. nr. 922 121 079,Økologisk landbruksproduksjon,Gyldig fra 15.07.2020 til 30.12.2021
675,Enger gård Ingela Grov,"Fløytingen 52 , 3514 HØNEFOSS",Org. nr. 987 416 955,Økologiske juletrær og pyntegrønt,Gyldig fra 05.05.2020 til 30.12.2021
676,Engrosfrukt AS AVD LANGHUS,"Håndverksveien 31 , 1405 LANGHUS",Org. nr. 971 754 435,"Foredling, import og omsetning",Gyldig fra 17.11.2020 til 30.12.2021
678,Enlid jr. Ingebrigt,"Nigåla , 7298 BUDALEN",Org. nr. 989 338 889,"Foredling, import og omsetning",Gyldig fra 05.02.2020 til 30.12.2021
679,Epleblomsten AS,"Sauheradvegen 716 , 3812 AKKERHAUGEN",Org. nr. 914 968 682,"Foredling, import og omsetning",Gyldig fra 05.02.2020 til 30.12.2021
680,Erdal Ketil,"Engeløyveien 538 , 8289 VÅG",Org. nr. 970 505 687,Økologisk landbruksproduksjon,Gyldig fra 25.10.2020 til 30.12.2021
681,Erga Arin,"Orreveien 653 , 4352 KLEPPE",Org. nr. 921 214 065,"Foredling, import og omsetning",Gyldig fra 09.09.2020 til 30.12.2021
682,Eriksen Claus Petter og Kristin Kaas,"Kompvegen 1030 , 1925 BLAKER",Org. nr. 969 309 742,Økologisk landbruksproduksjon,Gyldig fra 08.11.2020 til 30.12.2021
683,Eriksen Einar,"Årsvollveien 243 , 4312 SANDNES",Org. nr. 969 796 066,Økologisk landbruksproduksjon,Gyldig fra 16.06.2020 til 30.12.2021
684,Eriksen Harald,"Aarberg 52 , 6973 SANDE I SUNNFJORD",Org. nr. 969 202 042,Økologisk landbruksproduksjon,Gyldig fra 23.02.2020 til 30.12.2021
685,Eriksen Rune,"Nordvågsøyvegen 480 , 6710 RAUDEBERG",Org. nr. 918 750 924,Økologisk landbruksproduksjon,Gyldig fra 24.03.2020 til 30.12.2021
686,Eriksrud Erik,"Blåflatvegen 26 , 2846 BØVERBRU",Org. nr. 970 433 287,Økologisk landbruksproduksjon,Gyldig fra 02.02.2020 til 30.12.2021
687,Erstad Britt Synnøve,"Erstadvegen 65 , 2870 DOKKA",Org. nr. 985 368 090,Økologisk landbruksproduksjon,Gyldig fra 31.08.2020 til 30.12.2021
688,Ervik Havfiske AS,"Otneimneset , 6750 STADLANDET",Org. nr. 977 084 474,Bærekraftig fiske og fangst,Gyldig fra 04.06.2020 til 30.12.2021
689,Eskedal Mariann,"Eskedalveien 197 , 3270 LARVIK",Org. nr. 971 196 041,Økologisk landbruksproduksjon,Gyldig fra 08.07.2020 til 30.12.2021
690,Espedal Leif Jarle,"Hauglandsvegen 142 , 6968 FLEKKE",Org. nr. 981 873 424,Økologisk landbruksproduksjon,Gyldig fra 08.06.2020 til 30.12.2021
691,Espegard Halvard,"Leveldvegen 240 , 3570 ÅL",Org. nr. 969 191 407,Økologisk landbruksproduksjon,Gyldig fra 05.02.2020 til 30.12.2021
692,Espelid Tov Larsen,"Svartdalsvn 334 , 3841 FLATDAL",Org. nr. 996 276 422,Økologisk landbruksproduksjon,Gyldig fra 11.12.2020 til 30.12.2021
694,Etikken BA,"Olav Tryggvasons gt. 20 , 7011 TRONDHEIM",Org. nr. 995 176 750,"Foredling, import og omsetning",Gyldig fra 19.11.2020 til 30.12.2021
696,Etikken Lade AS,"City Lade, Haakon VIIs gt 9 , 7041 TRONDHEIM",Org. nr. 923 736 700,"Foredling, import og omsetning",Gyldig fra 19.11.2020 til 30.12.2021
698,Ett Bord,"Ruseløkkeveien 3 , 0251 OSLO",Org. nr. 916 256 299,Servering av økologisk mat og drikke,Gyldig fra 22.04.2020 til 30.12.2021
699,Eugen AS,"Håndverksveien 31 , 1405 LANGHUS",Org. nr. 913 154 975,"Foredling, import og omsetning",Gyldig fra 25.03.2020 til 30.12.2021
700,Eureca Engros AS,"Sandstuveien 70d , 0680 OSLO",Org. nr. 918 972 366,"Foredling, import og omsetning",Gyldig fra 16.11.2020 til 30.12.2021
701,Europris AS,"PB 1421 , 1602 FREDRIKSTAD",Org. nr. 971 611 855,"Foredling, import og omsetning",Gyldig fra 08.11.2020 til 30.12.2021
702,Evenrud Ole Jakob,"Kverndalsvegen 18 , 2846 BØVERBRU",Org. nr. 975 553 930,Økologisk landbruksproduksjon,Gyldig fra 27.05.2020 til 30.12.2021
703,Evjenth Christina,"Haugen , 8720 VIKHOLMEN",Org. nr. 984 743 246,"Foredling, import og omsetning",Gyldig fra 07.07.2020 til 30.12.2021
704,EWOS AS,"Postboks 4 Sentrum , 5803 BERGEN",Org. nr. 979 184 832,"Foredling, import og omsetning",Gyldig fra 06.12.2020 til 30.12.2021
705,Ewos AS avd Florø,"Kyllervegen 2 , 6906 FLORØ",Org. nr. 973 083 910,"Foredling, import og omsetning",Gyldig fra 17.01.2021 til 30.12.2021
706,Excellars AS,"Postboks 64 , 1483 HAGAN",Org. nr. 991 247 211,"Foredling, import og omsetning",Gyldig fra 12.01.2021 til 30.12.2021
707,Excellent Taste AS,"Per Waalers vei 19 , 1360 FORNEBU",Org. nr. 987 435 836,"Foredling, import og omsetning",Gyldig fra 24.03.2020 til 30.12.2021
708,Færder Får DA v/ Terje Bjerga,"Jørestrandvn. 1 , 3148 HVASSER",Org. nr. 985 454 450,Økologisk landbruksproduksjon,Gyldig fra 05.05.2020 til 30.12.2021
709,Færder Mikrobryggeri AS,"Flekkenvn. 81 , 3145 TJØME",Org. nr. 912 447 278,"Foredling, import og omsetning",Gyldig fra 05.07.2020 til 30.12.2021
710,Færø Helge,"Bygg-Service, Hosøyvegen 44 , 5993 OSTEREIDET",Org. nr. 971 229 292,Økologisk landbruksproduksjon,Gyldig fra 04.10.2020 til 30.12.2021
712,Færøyvik Inger og Oddvar,"Færøya 7 , 6913 FLORØ",Org. nr. 969 591 626,"Foredling, import og omsetning",Gyldig fra 07.04.2020 til 30.12.2021
713,Fagerås Kolbjørn,"Øiestadveien 249 , 1860 TRØGSTAD",Org. nr. 974 243 237,Økologisk landbruksproduksjon,Gyldig fra 07.04.2020 til 30.12.2021
714,"Fagernes gård Merete Tofte Boholm,","Nordsivn. 28 , 7600 LEVANGER",Org. nr. 888 449 302,Økologisk landbruksproduksjon,Gyldig fra 14.09.2020 til 30.12.2021
715,Faksdal Ola Kai,"Hovsveien 2 , 7856 JØA",Org. nr. 971 388 900,"Foredling, import og omsetning",Gyldig fra 01.09.2020 til 30.12.2021
716,Falang gård Gitte Lien,"Falangvn. 19 , 2750 GRAN",Org. nr. 916 371 950,Økologisk landbruksproduksjon,Gyldig fra 26.11.2020 til 30.12.2021
717,Falkenstein Dagmar Vigdis,"Fjordavegen 1925 , 6817 NAUSTDAL",Org. nr. 984 637 527,Økologisk landbruksproduksjon,Gyldig fra 07.09.2020 til 30.12.2021
718,Familiegard ut i Posten v/Jacqueline Mannaart,"Frøysjøvegen 3160 , 6723 SVELGEN",Org. nr. 997 670 132,Økologisk landbruksproduksjon,Gyldig fra 25.10.2020 til 30.12.2021
719,Familien Solbergs gårdsprodukter -Ureist mat,"Hornneslia 55 , 1747 SKJEBERG",Org. nr. 921 165 544,"Foredling, import og omsetning",Gyldig fra 19.04.2020 til 30.12.2021
720,Fana Kjøtt AS,"Sandbrekkevn. 100 , 5225 NESTTUN",Org. nr. 997 992 881,"Foredling, import og omsetning",Gyldig fra 20.12.2020 til 30.12.2021
721,Farm-eas,"Kjellstadveien 47 a , 3402 LIER",Org. nr. 917 818 088,Økologisk landbruksproduksjon,Gyldig fra 11.05.2020 til 30.12.2021
722,Fatland Jæren AS,"Hommersåkvn. 250 , 4311 HOMMERSÅK",Org. nr. 913 251 342,"Foredling, import og omsetning",Gyldig fra 07.09.2020 til 30.12.2021
723,Fatland Ølen AS,"Øvrehagen 2 , 5580 ØLEN",Org. nr. 930 054 968,"Foredling, import og omsetning",Gyldig fra 03.11.2020 til 30.12.2021
724,Fatland Oslo AS,"Prof. Birkelandsvei 30A , 1081 OSLO",Org. nr. 973 064 746,"Foredling, import og omsetning",Gyldig fra 01.12.2020 til 30.12.2021
725,Faun Pharma AS,"Støttumvn. 9 , 1540 VESTBY",Org. nr. 883 370 112,"Foredling, import og omsetning",Gyldig fra 07.12.2020 til 30.12.2021
726,Fauske Jens Petter,"Sørestrandvegen 540 , 6222 IKORNNES",Org. nr. 980 424 146,Økologisk landbruksproduksjon,Gyldig fra 29.09.2020 til 30.12.2021
728,Fazer Norway AS,"Karl Johans gate 2 , 0154 OSLO",Org. nr. 996 745 821,"Foredling, import og omsetning",Gyldig fra 03.10.2020 til 30.12.2021
729,Feddie Distillery AS,"Muren 1 , 5947 FEDJE",Org. nr. 817 719 562,"Foredling, import og omsetning",Gyldig fra 03.10.2020 til 30.12.2021
730,Fegstad Eirin,"Vinjefjordvegen 2662 , 6686 VALSØYBOTN",Org. nr. 914 013 232,Økologisk landbruksproduksjon,Gyldig fra 02.12.2020 til 30.12.2021
731,Felleskjøpet Agri SA avd 3430 Rindsem Fabrikk,"Rindsemvegen 60 , 7657 VERDAL",Org. nr. 971 757 027,"Foredling, import og omsetning",Gyldig fra 30.09.2020 til 30.12.2021
732,Felleskjøpet Agri SA avd. Eiker Mølle,"Skotselvveien 109 , 3300 HOKKSUND",Org. nr. 911 608 103,"Foredling, import og omsetning",Gyldig fra 28.10.2020 til 30.12.2021
733,Felleskjøpet Agri SA avd. Gran Mølle og Kornsilo,"Møllergata 9 , 1890 RAKKESTAD",Org. nr. 973 096 818,"Foredling, import og omsetning",Gyldig fra 11.11.2020 til 30.12.2021
734,Felleskjøpet Agri SA avd. Kambo,"Møllebakken 50 , 1538 MOSS",Org. nr. 876 096 802,"Foredling, import og omsetning",Gyldig fra 04.11.2020 til 30.12.2021
735,Felleskjøpet Agri SA avd. Lena,"Silogt 34 , 2850 LENA",Org. nr. 973 963 89,"Foredling, import og omsetning",Gyldig fra 19.10.2020 til 30.12.2021
736,Felleskjøpet Agri SA avd. Verdal Kornsilo,"Møllegt. 8 , 7650 VERDAL",Org. nr. 912 556 077,"Foredling, import og omsetning",Gyldig fra 30.12.2020 til 30.12.2021
737,Felleskjøpet Agri SA fabrikk Steinkjer,"Postboks 2541 , 7729 STEINKJER",Org. nr. 973 175 130,"Foredling, import og omsetning",Gyldig fra 12.08.2020 til 30.12.2021
738,Felleskjøpet Agri SA hovedkontoret,"Depotgata 22 , 2028 LILLESTRØM",Org. nr. 973 096 559,"Foredling, import og omsetning",Gyldig fra 18.02.2020 til 30.12.2021
739,Felleskjøpet Agri SA Melhus Kornsilo,"Kuhaugen 4 , 7224 MELHUS",Org. nr. 996 201 783,"Foredling, import og omsetning",Gyldig fra 02.12.2020 til 30.12.2021
740,Felleskjøpet Agri SA reg 4 avd 7240 Silo/Korn Larvik,"Kanalgata 10 , 3263 LARVIK",Org. nr. 973 096 435,"Foredling, import og omsetning",Gyldig fra 16.06.2020 til 30.12.2021
741,FELLESKJØPET AGRI SA REGION 1 AVD 2150 PRODUKSJON SKI,"Postboks 344 , 1402 SKI",Org. nr. 973 096 508,"Foredling, import og omsetning",Gyldig fra 18.02.2020 til 30.12.2021
742,Felleskjøpet Agri SA region 1 avd Askim kornsilo,"Løkenveien 4 , 1811 ASKIM",Org. nr. 974 072 300,"Foredling, import og omsetning",Gyldig fra 09.11.2020 til 30.12.2021
744,Felleskjøpet Agri SA region 1 avd Bjørkelangen,"Siloveien 2 , 1940 BJØRKELANGEN",Org. nr. 973 082 795,"Foredling, import og omsetning",Gyldig fra 26.04.2020 til 30.12.2021
745,Felleskjøpet Agri SA Vestnes,"Skorgeneset 31 , 6390 VESTNES",Org. nr. 972 013 064,"Foredling, import og omsetning",Gyldig fra 26.04.2020 til 30.12.2021
746,Felleskjøpet Eidsvoll,"Botshaugtangen , 2080 EIDSVOLL",Org. nr. 974 077 728,"Foredling, import og omsetning",Gyldig fra 19.01.2021 til 30.12.2022
747,Felleskjøpet Rogaland Agder avd. Stavanger,"Postboks 208 , 4001 STAVANGER",Org. nr. 915 442 552,"Foredling, import og omsetning",Gyldig fra 18.11.2020 til 30.12.2021
748,Fellespakkeriet SA,"Fruktveien 21 , 3402 LIER",Org. nr. 992 878 169,"Foredling, import og omsetning",Gyldig fra 05.10.2020 til 30.12.2021
749,Feltstykket Knut Helmer,"Skjærkholtvn 114 , 4900 TVEDESTRAND",Org. nr. 884 054 842,Økologisk landbruksproduksjon,Gyldig fra 27.04.2020 til 30.12.2021
750,Feragen Rolf L.,"Feragsveien 341 , 7374 RØROS",Org. nr. 969 258 196,Økologisk landbruksproduksjon,Gyldig fra 01.12.2020 til 30.12.2021
751,Ferskvarehuset AS,"Lautmovegen 91, , 2067 JESSHEIM",Org. nr. 991 365 427,"Foredling, import og omsetning",Gyldig fra 03.02.2020 til 30.12.2021
752,Fersnes Nils Skåre,"Evjeveien 2452 , 4735 EVJE",Org. nr. 987 795 468,Økologisk landbruksproduksjon,Gyldig fra 05.10.2020 til 30.12.2021
753,Fiddan Service og Konsult,"Havreselandsveien 87 , 4525 KONSMO",Org. nr. 912 699 889,Økologisk landbruksproduksjon,Gyldig fra 15.11.2020 til 30.12.2021
